Title	Author First Name	Author Last Name	Author Website	Publisher	Publication Year	ISBN	Barcode	Acquisition Date	Acquisition Price
The Shadow in the North	Philip	Pullman	http://philip-pullman.com/	Scholastic Point	2004	0-43-997781-9	637C-C94F-7989-D30B	2016-05-15	$14.99
Harry Potter and the Goblet of Fire: The Illustrated Edition	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2019	0-54-579142-1	8AF7-45B2-C5B7-B720	2021-12-22	$16.53
Lean Impact: How to Innovate for Radically Greater Social Good	Ann Mei	Chang		Wiley	2018	1-1-1950660-3	8FDA-D313-5E10-9D6D	2021-01-31	$16.72
Lean Impact: How to Innovate for Radically Greater Social Good	Ann Mei	Chang		Wiley	2018	1-1-1950660-3	9B51-56C0-FF40-1459	2020-10-24	$14.08
An Infamous Army	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Landmark	2007	978-14022-1-007-5	0442-F7DA-4E07-013E	2009-02-11	$17.63
Changes  of the Dresden files	Jim	Butcher	https://www.jim-butcher.com/	Roc	2010	978-04-5-146317-3	09DB-61E8-323B-490E	2016-11-20	$16.42
The Carnivorous Carnival	Lemony	Snicket	http://danielhandler.com/	HarperCollins	2002	0-06-441012-9	0B09-DCCE-3F0F-9ACB	2008-07-04	$14.96
Harry Potter and the Half-blood Prince: Children's Edition	J. K.	Rowling	https://jkrowling.com/	Bloomsbury	2005	074758-1-08-8	3773-A28D-2C31-7F87	2013-05-12	$5.00
Harry Potter and the Half-blood Prince: Children's Edition	J. K.	Rowling	https://jkrowling.com/	Bloomsbury	2010	978-0197-2-3643-X	E0A8-DCE2-FB11-8AB8	2012-12-20	$17.08
The Limbreth Gate	Megan	Lindholm	https://www.meganlindholm.com/	HarperCollins	2002	0-00711-254-8	E14B-6CDB-EF06-02BA	2007-04-26	$19.09
The Eye of the World: the Graphic Novel, Volume Two	Robert	Jordan		Tor Books	2014	076-5-33787-8	0CF8-4BF2-739F-94AC	2016-03-31	$17.81
The Eye of the World: the Graphic Novel, Volume Two	Robert	Jordan		Tor Books	2017	978-26-88007-22-X	B5B8-537D-CF28-10B0	2020-09-15	$18.24
White Fang and the Call of the Wild	Jack	London		Penguin Books	1994	014-06211-4-8	9D4B-B295-2783-8A2D	2000-10-30	$10.43
Guns, Germs, and Steel: The Fates of Human Societies	Jared	Diamond		W. W. Norton & Company	1997	0-3-9303891-2	B358-7F08-CC1B-9AE2	2012-03-05	$15.50
Guns, Germs, and Steel: The Fates of Human Societies	Jared	Diamond		W. W. Norton & Company	1997	0-3-9303891-2	0B4A-B083-AD96-A0FD	2011-06-28	$7.90
Cordelia's Honor	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1999	0-67-157828-6	7600-148C-5EDF-4F54	2009-05-30	$18.45
The Ride of a Lifetime: Lessons Learned from 15 Years as CEO of the Walt Disney Company	Robert	Iger		Random House	2019	0-3995-9209-1	D898-C9F2-7996-FA66	2022-07-19	$6.46
Sleeping Murder	Agatha	Christie	https://www.agathachristie.com/	Bantam Doubleday Dell	1977	05531-0-706-2	8482-8E8C-1168-9CAC	2018-05-09	$7.53
Servant of the Empire	Raymond E	Feist	https://raymondefeist.com/	Spectra	1991	05-5-329245-5	245B-54A1-B5AD-5A2F	2014-01-27	$6.63
Arjuna and the Hunter		Bharavi		Harvard University Press	2016	0-674-50496-8	E73D-46DD-0431-F9E6	2022-05-31	$5.13
Arjuna and the Hunter		Bharavi		Harvard University Press	2016	0-674-50496-8	59C4-6B93-D93C-D1C7	2022-11-25	$19.16
Hickory Dickory Death	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1985	06-7161-434-7	971C-3D3E-796C-62AF	2013-06-26	$19.08
The Epic of Ram, Volume 1		Tulsidas		Harvard University Press	2016	06-744-2501-4	7456-7DC1-5031-C267	2019-11-11	$19.85
Lavinia	Ursula K.	Le Guin	https://www.ursulakleguin.com/	Mariner Books	2009	0156-03-368-2	E7A6-34D3-8B33-BC2C	2021-08-07	$8.74
The Magicians Nephew	C. S.	Lewis	https://www.cslewis.com/	Grafton	2007	02-61670-46-8	F2DE-34D7-90BF-E1CA	2014-04-21	$9.62
The Magicians Nephew	C. S.	Lewis	https://www.cslewis.com/	Grafton	2007	02-61670-46-8	502E-83B3-2EF6-DF6F	2022-09-07	$12.07
The Magicians Nephew	C. S.	Lewis	https://www.cslewis.com/	Grafton	2007	02-61670-46-8	BB66-05F3-E89D-AD94	2014-12-17	$12.91
April Lady	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Casablanca	2012	140-2238-78-9	AE21-9355-220E-BB13	2020-06-24	$10.68
Dead Voices	Katherine	Arden	http://katherinearden.com/	G.P. Putnam's Sons Books for Young Readers	2019	0-5-2551505-4	6DB2-C5CA-911A-DDA0	2021-06-02	$16.73
Designing Web Usability	Jakob	Nielsen		New Riders	1999	1-562058-10-X	10B5-9A17-4F3B-5CDC	2005-08-01	$5.29
Blood Rites	Jim	Butcher	https://www.jim-butcher.com/	Roc	2004	04-5145-987-3	27A5-A97D-B916-B1A3	2004-10-05	$18.51
Tom Sawyer, Detective	Mark	Twain		SeaWolf Press	2020	1-952-43325-8	542F-AD34-6A47-E338	2021-08-15	$16.48
Getting Real: The Smarter, Faster, Easier Way to Build a Successful Web Application	Jason	Fried	https://world.hey.com/jason	37signals	2006	05-78-01281-2	E32A-3151-3104-3B36	2008-10-07	$13.29
Reflex	Steven	Gould	https://eatourbrains.com/steve	Tor Science Fiction	2005	081-25-7854-6	EF42-4ACE-F101-194E	2021-09-17	$17.20
Death: The High Cost of Living	Neil	Gaiman	https://neilgaiman.com/	Vertigo	1994	156389-1-33-6	613C-478D-63AD-F7D6	2000-12-09	$6.20
The Bear and the Nightingale	Katherine	Arden	http://katherinearden.com/	Del Rey	2017	11-018-8593-9	1DC6-C634-38B7-3B02	2018-12-30	$6.03
The Thief	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	1996	0-6-8814627-9	EA2E-DCFF-F4BC-1DB6	2000-05-09	$10.07
The Thief	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	1998	12512-6-277-4	07B3-0F04-FF60-C23C	2007-03-09	$9.63
The Golden Enclaves	Naomi	Novik	http://naominovik.com/	Del Rey	2022	0-59-315835-0	D68A-4C41-EC6A-F628	2022-11-11	$7.38
Luna: Wolf Moon	Ian	McDonald		Tor Books	2017	076537-55-3-2	D99E-0339-EF9C-5E65	2018-06-21	$7.29
Competing Against Luck: The Story of Innovation and Customer Choice	Clayton M.	Christensen		Harper Business	2016	0-062-43561-2	5DCE-DE85-2E7E-5E12	2020-03-12	$13.85
Harry Potter and the Sorcerer's Stone: The Illustrated Edition	J. K.	Rowling	https://jkrowling.com/	Arthur A. Levine Books	2015	0-54-579035-2	458B-28DC-ECDF-3DDA	2022-08-20	$12.16
The Eye of the World	Robert	Jordan		Tor Books	1990	031-2850-09-3	E1A4-F875-35DB-2CBF	2006-03-01	$11.47
The Eye of the World	Robert	Jordan		Tor Books	1990	031-2850-09-3	7340-E1D7-E8C1-72C0	1992-05-27	$15.63
The High King	Lloyd	Alexander		Bantam Doubleday Dell	1990	0-44-043574-9	2654-80AD-3DD2-9047	2008-01-02	$15.32
How to Read a Book	Mortimer Jerome	Adler		Fine Communications	1997	15673-101-0-9	18AC-9952-C255-D7D6	2009-09-26	$15.35
Code Complete	Steve	McConnell		Microsoft Press	1993	1556154-8-4-4	1C74-9B39-575B-F831	1998-11-30	$17.85
Six Not-so-easy Pieces: Lectures On Symmetry, Relativity, And Space-time	Richard	Feynman	http://richardfeynman.com/	Basic Books	1997	02-0-115025-5	F57A-0EE7-7D35-E340	2014-12-12	$18.72
King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa	Adam	Hochschild		Mariner Books	1999	061800-19-0-5	42F8-85D8-F87F-9451	2005-10-09	$7.19
King Leopold's Ghost: A Story of Greed, Terror, and Heroism in Colonial Africa	Adam	Hochschild		Mariner Books	1999	061800-19-0-5	747E-CF2B-5552-08F2	2009-04-26	$12.74
The End	Lemony	Snicket	http://danielhandler.com/	HarperCollins	2006	0-0644-1016-1	6773-7CF3-885F-2A09	2010-12-29	$18.95
The End	Lemony	Snicket	http://danielhandler.com/	HarperCollins	2006	0-0644-1016-1	4370-F71E-E7AC-7110	2020-02-29	$7.45
Inkheart	Cornelia	Funke	https://corneliafunke.com/	Scholastic Press	2009	0545046-2-6-2	82A1-1659-6368-AC2B	2009-06-03	$15.45
Engaged: Designing for Behavior Change	Amy	Bucher		Rosenfeld Media	2020	193-3-82042-X	1DF1-361B-1077-218F	2022-11-16	$6.86
Engaged: Designing for Behavior Change	Amy	Bucher		Rosenfeld Media	2020	193-3-82042-X	7E23-7E83-F83D-461E	2021-03-13	$9.00
A Memoir of Jane Austen: and Other Family Recollections	James Edward	Austen-Leigh		Oxford University Press	2008	978-0-19954-077-8	8F0A-8835-7FDA-0377	2012-03-22	$10.66
Farmer Boy	Laura Ingalls	Wilder		HarperCollins	1953	0064-400-03-4	3AE6-CFC9-2CA4-A834	1971-03-03	$8.09
Farmer Boy	Laura Ingalls	Wilder		HarperCollins	1961	5710-54-766-1	25EC-9885-16D1-62B3	1999-04-30	$17.89
The Pleasure of Finding Things Out: The Best Short Works of Richard Feynman	Richard	Feynman	http://richardfeynman.com/	Penguin Books	2001	01-4-029034-6	6B12-9B5B-0975-D1B0	2015-10-01	$14.69
Verdigris Deep	Frances	Hardinge	http://www.franceshardinge.com/	Macmillan Children's Books	2008	03-304-4190-6	4EE9-D634-F14E-919B	2011-03-21	$7.85
So Many Steps to Death	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1956	0-671777-08-4	DA20-440D-F69A-9A09	2009-02-20	$14.97
The Queen of Attolia	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	2000	0688-1-7423-X	7AFD-CA45-283D-133E	2019-02-23	$19.66
Caves of Steel	Isaac	Asimov		Grafton	1993	0-58-600835-7	099C-34C6-F425-1407	2000-05-22	$9.22
Caves of Steel	Isaac	Asimov		Grafton	1993	0-58-600835-7	2245-BC90-9AEF-391C	2015-03-21	$13.38
Bone in the Throat	Anthony	Bourdain		Bloomsbury USA	2000	1582-341-02-8	D079-8C80-D3DD-8FB2	2002-05-14	$9.70
The Military Science of Star Wars	George	Beahm		Tor Books	2018	125-0-12474-3	BE27-3CE4-3A22-E471	2020-03-02	$12.93
The Zookeeper's Wife: A War Story	Diane	Ackerman	http://www.dianeackerman.com/	W. W. Norton & Company	2007	978-03-9-306172-7	C0A5-058D-6691-4F03	2022-05-20	$19.78
The Zookeeper's Wife: A War Story	Diane	Ackerman	http://www.dianeackerman.com/	W. W. Norton & Company	2007	978-03-9-306172-7	1A26-E26A-1B31-43B6	2008-11-30	$10.51
The Zookeeper's Wife: A War Story	Diane	Ackerman	http://www.dianeackerman.com/	W. W. Norton & Company	2014	978-3170-45-689-3	4A90-3031-AB90-1841	2015-10-25	$11.54
The Zookeeper's Wife: A War Story	Diane	Ackerman	http://www.dianeackerman.com/	W. W. Norton & Company	2014	978-3170-45-689-3	79BF-31EB-C019-575F	2020-07-22	$13.77
Crispin: The Cross of Lead		Avi		Scholastic Press	2004	043-9574-68-4	3CB4-258F-5F99-8372	2015-05-25	$8.00
Crispin: The Cross of Lead		Avi		Scholastic Press	2012	978-704-9-90007-7	C044-BFB1-0EA4-FC7D	2022-08-27	$8.51
Mistborn	Brandon	Sanderson	https://www.brandonsanderson.com/	Dragonsteel Entertainment	2006	978-1938570-1-3-1	DB37-6446-F6A5-8E2D	2009-07-28	$10.21
The Shape of Design	Frank	Chimero		Frank Chimero	2012	09-854-7220-0	C380-834E-8447-18B4	2020-08-13	$7.24
The Shape of Design	Frank	Chimero		Frank Chimero	2012	09-854-7220-0	08DA-EC9E-4F43-964E	2018-02-12	$6.78
The Epic of Ram, Volume 5		Tulsidas		Harvard University Press	2020	0-6-7498614-8	289D-C8B5-3A88-272E	2021-05-27	$7.41
The City in the Lake	Rachel	Neumeier	https://www.rachelneumeier.com/	Knopf Books for Young Readers	2008	978-03-7-584704-2	6690-D63B-7F3C-2B47	2016-10-31	$9.31
The City in the Lake	Rachel	Neumeier	https://www.rachelneumeier.com/	Knopf Books for Young Readers	2008	978-03-7-584704-2	A8B3-E44D-89C4-244D	2010-01-22	$6.89
The City in the Lake	Rachel	Neumeier	https://www.rachelneumeier.com/	Knopf Books for Young Readers	2008	978-03-7-584704-2	4206-EAEA-3777-F62F	2009-12-06	$18.82
The City in the Lake	Rachel	Neumeier	https://www.rachelneumeier.com/	Knopf Books for Young Readers	2017	978-1439-5-3205-5	C23F-559F-4A7A-55CC	2018-01-15	$7.99
Hungry Planet: What the World Eats	Peter	Menzel	https://www.menzelphoto.com/	Material World	2005	1-58-008681-0	2B84-AD4E-7AFD-3140	2009-09-22	$11.39
Hungry Planet: What the World Eats	Peter	Menzel	https://www.menzelphoto.com/	Material World	2011	978-15-981059-3-3	0E6A-D701-2EAF-AC60	2014-01-05	$18.95
David Copperfield	Charles	Dickens		Simon & Brown	2011	16138-21-12-3	8285-C801-9467-AD31	2017-11-25	$15.82
Little House in the Big Woods	Laura Ingalls	Wilder		HarperCollins	1971	0-0-6440001-8	1C22-E76D-7A91-22D9	1977-01-07	$18.94
The Art of the Start 2.0: The Time-Tested, Battle-Hardened Guide for Anyone Starting Anything	Guy	Kawasaki		Portfolio	2015	15-9-184784-2	DD6E-C6F1-5676-BF3D	2019-10-20	$14.58
Storytelling for User Experience	Whitney	Quesenbery		Rosenfeld Media	2010	193382-0-47-0	D652-5356-E4A6-E2D2	2011-10-06	$14.98
Turn Coat	Jim	Butcher	https://www.jim-butcher.com/	Roc	2009	0-4-5146256-4	F4B6-755F-B17C-D088	2011-10-08	$13.27
The Candy Shop War	Brandon	Mull	http://brandonmull.com/	Aladdin	2014	148-1-41119-5	036F-EB6B-8A58-6051	2017-06-22	$13.51
Contact	Carl	Sagan	https://carlsagan.com/	Pocket Books	1997	06-7-100410-7	7308-7582-D0B0-26C1	2006-10-25	$10.92
The Sparrow	Mary Doria	Russell		Villard	1996	06-79-45150-1	0FB7-9413-895D-8806	2015-09-05	$17.54
The Sparrow	Mary Doria	Russell		Villard	1996	06-79-45150-1	51F9-C576-5DC0-BA45	1996-02-13	$14.24
Quiet: The Power of Introverts in a World That Can't Stop Talking	Susan	Cain		Crown	2012	0-30-735214-5	C45F-FEB3-2E27-3A36	2017-04-30	$7.39
The Perfect Store: Inside eBay	Adam	Cohen		Back Bay Books	2003	031-6-16493-3	B4D6-4F32-C21B-B8C3	2014-09-18	$9.29
Victory of Eagles	Naomi	Novik	http://naominovik.com/	Del Rey	2008	0-34-549688-4	5BF0-8CA1-8907-1235	2021-09-10	$18.15
Victory of Eagles	Naomi	Novik	http://naominovik.com/	Del Rey	2008	0-34-549688-4	62BC-C2AC-008A-072F	2016-08-19	$7.78
Victory of Eagles	Naomi	Novik	http://naominovik.com/	Del Rey	2009	978-08-7-180833-2	38C5-171D-9455-1F10	2017-03-22	$13.16
Ramayana		Valmiki		Penguin Global	2000	01-4-029866-5	4735-8133-DA1A-F6E7	2005-03-23	$16.90
Ramayana		Valmiki		Penguin Global	2000	01-4-029866-5	9195-C27C-C91F-DB4B	2008-06-13	$6.88
Alcatraz vs. the Evil Librarians	Brandon	Sanderson	https://www.brandonsanderson.com/	Starscape	2016	07-65-37894-9	DF9C-0CC8-2423-B25F	2019-08-20	$17.75
Taran Wanderer	Lloyd	Alexander		Yearling	1969	04-40484-83-9	1886-9148-B26D-846E	1992-09-14	$12.54
The Uncommon Reader	Alan	Bennett		Farrar, Straus and Giroux	2007	03-74-28096-7	6F11-69B2-F990-274A	2013-11-28	$7.69
A Reporter's Life	Walter	Cronkite		Knopf	1996	0394-578-79-1	DD01-6D41-19A6-1A35	2009-12-16	$8.38
The King of Attolia	Megan Whalen	Turner	http://meganwhalenturner.org/	Greenwillow Books	2006	006-083-578-8	D40F-D966-D20E-56CE	2006-10-17	$11.98
The Ocean at the End of the Lane	Neil	Gaiman	https://neilgaiman.com/	William Morrow	2013	00-62-25565-7	6E13-283A-11A4-F330	2013-01-23	$12.21
The Ocean at the End of the Lane	Neil	Gaiman	https://neilgaiman.com/	William Morrow	2013	00-62-25565-7	02CE-793B-377D-EF70	2021-11-23	$17.79
Crime and Punishment	Fyodor	Dostoevsky		Penguin Books	1998	014-06-2180-6	FAF2-D46D-B49A-58EF	2005-11-03	$19.81
Crime and Punishment	Fyodor	Dostoevsky		Penguin Books	1998	014-06-2180-6	FC06-FD10-82BC-6C79	2018-10-13	$7.08
The Girl Who Soared Over Fairyland and Cut the Moon in Two	Catherynne M.	Valente	https://www.catherynnemvalente.com/	Feiwel & Friends	2013	125002-3-50-5	81B4-1544-D98C-DF84	2015-11-07	$17.21
The Girl Who Soared Over Fairyland and Cut the Moon in Two	Catherynne M.	Valente	https://www.catherynnemvalente.com/	Feiwel & Friends	2022	978-93-92-00606-6	02A5-5A4C-7DB3-EDC8	2022-08-27	$11.40
Neverwhere Illustrated Edition	Neil	Gaiman	https://neilgaiman.com/	William Morrow	2017	0062-82-133-4	E0CA-11F2-B2D0-DC9F	2020-03-29	$18.48
Persepolis Rising	James S. A.	Corey	https://www.jamessacorey.com/	Orbit	2017	03-1633-283-6	B2D1-592D-8610-064E	2018-03-22	$18.54
Things Fall Apart	Chinua	Achebe		Fawcett	1985	0-4-4920810-9	A658-9C1F-A7C1-58F3	1992-09-23	$19.33
Macintosh Human Interface Guidelines	Apple Computer	Inc.		Addison Wesley	1993	978-02-0-162216-4	0C1A-5E11-6CD8-E205	2015-12-11	$12.68
Macintosh Human Interface Guidelines	Apple Computer	Inc.		Addison Wesley	1993	978-02-0-162216-4	13F7-5223-0E53-CB16	2011-06-17	$17.72
Database Design for Mere Mortals: 25th Anniversary Edition	Michael J	Hernandez		Addison Wesley	2020	0-1-3678804-1	C5AB-DE60-AD23-915B	2020-12-27	$16.83
My Lord John	Georgette	Heyer	http://www.georgette-heyer.com/	Sourcebooks Landmark	2009	1-402213-53-0	ECFF-A04E-5EE9-CEB4	2014-01-04	$11.14
Cetaganda	Lois McMaster	Bujold	http://www.dendarii.com/	Demco Media	1996	060-61711-8-5	916B-BBF9-2017-86B5	2015-04-06	$7.78
Oryx and Crake	Margaret	Atwood		Anchor	2004	978-03-8-572167-7	266C-F882-53B8-2945	2013-04-11	$14.85
Only the Paranoid Survive	Andrew S.	Grove		Doubleday Business	1996	0-38-548258-2	9245-4A41-2F31-A74D	2008-12-18	$5.48
The Dervish House	Ian	McDonald		Pyr	2010	1616-1420-4-9	9988-ED2D-9878-EB53	2017-05-04	$9.67
Winter of Ice and Iron	Rachel	Neumeier	https://www.rachelneumeier.com/	Saga Press	2017	1481-4-4897-8	328E-8679-C2AA-77B8	2022-04-09	$18.88
A Murder is Announced	Agatha	Christie	https://www.agathachristie.com/	Pocket Books	1985	00-06-17137-0	FFBA-E742-64AE-9521	2012-12-08	$11.49
Building Scalable Web Sites: Building, Scaling, and Optimizing the Next Generation of Web Applications	Cal	Henderson		O'Reilly Media	2006	0-5961-0235-6	3268-C573-E8F1-F86F	2018-03-15	$19.39
The Spirit Ring	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1992	0-6-7172142-9	5523-3D65-7312-C6E6	2022-10-11	$12.77
Falling Free	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1988	0-6-7165398-9	DE31-95C3-A9C9-83B0	2000-09-23	$14.98
Falling Free	Lois McMaster	Bujold	http://www.dendarii.com/	Baen	1989	439-1727-78-1	1050-7155-EDC8-08CF	1990-06-27	$7.43
City of Stairs	Robert Jackson	Bennett	https://www.robertjacksonbennett.com/	Broadway Books	2014	0-8041-3717-X	8FE3-3A40-D5F3-B9B8	2021-10-26	$13.13
The Kestrel	Lloyd	Alexander		Firebird	2002	0-1413106-9-3	DB9D-DE04-4583-98C3	2006-02-02	$13.96
Mysteries of Pittsburgh	Michael	Chabon	http://michaelchabon.com/	Harper Perennial	2005	006079-0-59-8	E321-F1A4-2804-8AC9	2019-08-04	$7.06
Mysteries of Pittsburgh	Michael	Chabon	http://michaelchabon.com/	Harper Perennial	2011	978-923-469-703-0	B04E-246F-0520-01AD	2012-10-10	$15.46
The Lean Product Playbook: How to Innovate with Minimum Viable Products and Rapid Customer Feedback	Dan	Olsen		Wiley	2015	11189-60-87-4	59FB-C791-4CA3-E12B	2021-12-06	$17.08
Remote: Office Not Required	Jason	Fried	https://world.hey.com/jason	Currency	2013	08-041375-0-1	7C97-DD9A-25F3-E1F0	2014-01-19	$17.27
The Very Best of Charles de Lint	Charles	De Lint		Tachyon Publications	2010	189-2391-96-1	607E-4BBF-3DD2-6960	2018-10-19	$17.27
The Landmark Xenophon's Anabasis		Xenophon		Pantheon	2021	0-3-0790685-X	758D-DFB1-BA88-0073	2021-11-09	$13.23
Blood of Dragons	Robin	Hobb	http://www.robinhobb.com/	Harper Voyager	2013	0062-1-1685-1	EC50-65BB-055E-4E48	2021-10-19	$9.68
Showa 1939-1944: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2014	1-7-7046151-5	C9D3-55AF-3D1F-1B27	2021-01-03	$8.66
Showa 1939-1944: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2014	1-7-7046151-5	E0B8-07ED-A552-2D13	2015-09-20	$14.61
Showa 1939-1944: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2019	978-6421-80-397-9	5EA1-DCE3-BF08-756E	2022-08-16	$17.06
The Xanadu Adventure	Lloyd	Alexander		Dutton Juvenile	2005	052-547-371-8	C100-D8BD-4E9E-2D1F	2018-11-30	$16.26
The Xanadu Adventure	Lloyd	Alexander		Dutton Juvenile	2005	052-547-371-8	70F4-E78D-A339-A4C5	2009-05-28	$9.15
Fool's Errand	Robin	Hobb	http://www.robinhobb.com/	Spectra	2002	055380-1-48-1	81F9-D422-DD6A-CB1F	2004-08-19	$19.42
The Golden Dream of Carlo Chuchio	Lloyd	Alexander		Henry Holt and Co.	2007	0-8050833-3-2	A31D-A63D-C810-1769	2022-11-07	$9.05
Simple Thai Food	Leela	Punyaratabandhu	https://leelapunyaratabandhu.com/	Ten Speed Press	2014	1-60-774523-2	5BBD-F50D-BD6A-2C39	2021-03-20	$17.27
Cart and Cwidder	Diana Wynne	Jones	http://www.dianawynnejones.com/	Greenwillow Books	2001	00-644-7313-9	6884-6A42-F5A0-EAED	2018-03-24	$8.84
The Knight	Gene	Wolfe		Tor Fantasy	2005	0-76-534701-6	0E44-020B-5AF1-BC4C	2017-08-06	$11.24
Vegetables, Revised: The Most Authoritative Guide to Buying, Preparing, and Cooking, with More than 300 Recipes	James	Peterson	https://jimcooks.com/	Ten Speed Press	2012	160-774-026-5	FFC7-7EAC-AF8A-148A	2016-01-27	$15.14
Return of the Thief	Megan Whalen	Turner	http://meganwhalenturner.org/	HarperCollins Canada	2020	00628-744-7-0	88C4-F446-2F68-0DDB	2020-12-02	$15.72
The Emperor's Soul	Brandon	Sanderson	https://www.brandonsanderson.com/	Tachyon Publications	2012	1-6-1696092-2	5C3D-E71E-DD11-101C	2012-09-02	$19.94
Sabriel	Garth	Nix	https://garthnix.com/	HarperCollins	2021	0063-0-4050-6	CC6A-BC1A-9CF5-2D18	2022-03-30	$15.98
Oathbringer: Book Three of the Stormlight Archive	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2017	076532-6-37-X	106F-9031-B7CD-98FE	2017-07-17	$8.28
Oathbringer: Book Three of the Stormlight Archive	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2017	076532-6-37-X	290D-C2BC-D7A6-93B0	2018-02-19	$12.14
Looking for Jake: And Other Stories	China	Mieville	http://www.chinamieville.net/	Tor Books	2006	0-330-43418-7	273D-1182-CE47-803B	2021-11-23	$19.67
Oathbringer	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Books	2018	1250-2-9714-1	70C7-2E9E-5F43-9618	2019-07-26	$8.58
The Bear and the Nightingale	Katherine	Arden	http://katherinearden.com/	Del Rey	2017	110-18859-5-5	6E7E-026A-DDF0-0E33	2017-09-26	$18.51
The Complete Book of Sushi	Hideo	Dekura		Periplus Editions	2004	079-4-60316-5	B8BF-5125-1187-FB20	2022-05-14	$17.92
The Complete Book of Sushi	Hideo	Dekura		Periplus Editions	2013	978-6323-1216-9-2	233C-283E-04DF-16E6	2021-10-04	$7.69
To Hold the Bridge	Garth	Nix	https://garthnix.com/	HarperCollins	2015	978-00622-92-52-0	92A9-E782-02E9-800A	2021-04-01	$8.02
Anansi Boys	Neil	Gaiman	https://neilgaiman.com/	HarperTorch	2006	0-06-114060-0	BA64-EF2B-FF07-E26F	2022-01-29	$11.85
Return of the Dragon Slayers	Brandon	Mull	http://brandonmull.com/	Shadow Mountain	2021	16-2-972930-2	FE6D-9182-21AC-C1A2	2021-02-12	$17.18
Return of the Dragon Slayers	Brandon	Mull	http://brandonmull.com/	Shadow Mountain	2021	16-2-972930-2	61EE-24C9-8CEF-B15A	2021-01-21	$8.90
Return of the Dragon Slayers	Brandon	Mull	http://brandonmull.com/	Shadow Mountain	2021	16-2-972930-2	0074-5E63-82CC-0562	2021-09-07	$5.12
Search Patterns: Design for Discovery	Peter	Morville		O'Reilly Media	2010	0596-8022-7-7	1CE3-72E0-C446-DDD7	2020-04-11	$7.27
The Hero of Ages	Brandon	Sanderson	https://www.brandonsanderson.com/	Tor Fantasy	2009	07-6535-614-7	C6C6-D729-29BB-ABEE	2011-03-17	$6.99
Musicophilia: Tales of Music and the Brain, Revised and Expanded Edition	Oliver	Sacks	https://oliversacks.com/	Vintage	2008	1-4-0003353-5	49FB-A413-9CEC-955F	2015-07-27	$6.75
Musicophilia: Tales of Music and the Brain, Revised and Expanded Edition	Oliver	Sacks	https://oliversacks.com/	Vintage	2008	1-4-0003353-5	95FD-05FA-B896-EB8A	2020-12-19	$5.42
Musicophilia: Tales of Music and the Brain, Revised and Expanded Edition	Oliver	Sacks	https://oliversacks.com/	Vintage	2012	978-44-31288-97-1	299F-5E7B-22B2-1D54	2021-04-13	$15.20
Lirael: Daughter of the Clayr	Garth	Nix	https://garthnix.com/	HarperTeen	2001	0060-278-23-4	4A48-AB37-6371-D6F6	2006-01-06	$19.76
Showa 1953-1989: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2015	1-7704-6201-5	9980-51BC-303E-E5C9	2016-11-29	$15.45
Showa 1953-1989: A History of Japan	Shigeru	Mizuki		Drawn and Quarterly	2015	1-7704-6201-5	0BE2-E401-DB9D-0F14	2017-07-08	$5.55
Range: Why Generalists Triumph in a Specialized World	David	Epstein		Riverhead Books	2019	073-52144-8-4	DE6D-56E2-FAEA-24FE	2022-03-30	$5.09
Don't Make Me Think: A Common Sense Approach to Web Usability, 2nd Edition	Steve	Krug	https://sensible.com/	New Riders	2005	03-2-134475-8	5E1A-E352-1042-D840	2006-07-01	$18.74
Don't Make Me Think: A Common Sense Approach to Web Usability, 2nd Edition	Steve	Krug	https://sensible.com/	New Riders	2005	03-2-134475-8	F738-B0CE-220F-1878	2010-09-06	$8.60
Designing Web Interfaces: Principles and Patterns for Rich Interactions	Bill	Scott		O'Reilly Media	2009	059651-62-5-8	A797-9AE5-1075-F11F	2014-05-22	$16.06
The Haunting of Granite Falls	Eva	Ibbotson		Puffin	2005	141769-4-98-X	E53F-F636-17BE-9DEC	2006-06-18	$5.72
Notes from a Big Country	Bill	Bryson		Black Swan	1999	0552997-8-6-2	F14A-803B-C1B3-3858	2002-08-28	$18.44
The Great Brain Does It Again	John Dennis	Fitzgerald		Dial	1975	0-803-75065-X	EBD0-49C9-C9A2-22FD	1995-06-10	$13.09
